title,arranger,composer,period
"Dans van de rietfluitjes","Marleen Casteele","Peter Tsjaikovsky","19e eeuw"
"Arabische dans","Marleen Casteele","Peter Tsjaikovsky","19e eeuw"
"Dans van de suikerfee","Marleen Casteele","Peter Tsjaikovsky","19e eeuw"
"Cordoba","Y. Rivoal","Isaac Albéniz","19e eeuw"
"Asturias","Y. Rivoal","Isaac Albéniz","19e eeuw"
"Tokkeldingske","","Willem Vermandere","20e eeuw"
"Cristalina","","Marleen Casteele","20e eeuw"
"Bij Volle Maan","","Willem Vermandere","20e eeuw"
"Mambolero","","Luc Sterckx","20e eeuw"
"Suite Latina","","Klaus Schindler","20e eeuw"
"Porcelàn","","Marleen Casteele","20e eeuw"
"California Dreamin'","","Philips/Gillian","20e eeuw"
"Porcelàn","","Marleen Casteele","20e eeuw"
"Tango Casual","","Philip Duerinck","20e eeuw"
"Techno","","Jurg Kindle","20e eeuw"
"Rosa Mystica","","Armand Coeck","20e eeuw"
"Funky","","Jurg Kindle","20e eeuw"
"Château Rhytmique","","Ruben Bouteca","20e eeuw"
"Aurora","","Paul Svoboda","20e eeuw"
"La Anadidura","","Hansjoachim Kaps","20e eeuw"
"Tango","","Dieter Kreidler","20e eeuw"
"Foxtrot","Marleen Casteele","Dmitri Sjostakovitsch","20e eeuw"
"Schindler's List Theme","","John Williams","20e eeuw"
"Suite Macbeth: Ouverture, Mars, Rock, Blue Rock, Banket, Moord-wals, Apotheose","","Jacques Vande Ginste","20e eeuw"
"Renaissance Suite: Intrada Marziale, Pavane e Gagliarda, Canzona Lamentevole, Rondo Giocoso","Peter Rueffer","Francis Chagrin","20e eeuw"
"Thank You","Marleen Casteele","Dido","20e eeuw"
"Ritme van 5 over 6","","Wim Vanholderbeke","20e eeuw"
"Imhotep II","","Wim Vanholderbeke","20e eeuw"
"Perfect Day","Stef Minnebo","Lou Reed","20e eeuw"
"Black Magic Woman","Marleen Casteele","Santana","20e eeuw"
"Oye Como Va","Marleen Casteele","Santana","20e eeuw"
"Why Worry","","Dire Straits","20e eeuw"
"Private Investigations","","Dire Straits","20e eeuw"
"Danza del Juego de Amor","","Manuel De Falla","20e eeuw"
"Who wants to live forever","Marleen Casteele","Brian May","20e eeuw"
"Danza Ritual de Fuego","Marleen Casteele","Manuel de Falla","20e eeuw"
"St. Agnes and the Burning Train","","Sting","20e eeuw"
"Rumba","","Stepan Rak","20e eeuw"
"Fragile","Mauro Bruschi","Sting","20e eeuw"
"Cavatina","Luc Sterckx","Stanley Myers","20e eeuw"
"Yesterday","","The Beatles","20e eeuw"
"Passion Train","","Luc Sterckx","20e eeuw"
"Mambolero","","Luc Sterckx","20e eeuw"
"Pink Strings","","Luc Sterckx","20e eeuw"
"Petenera","","Luc Sterckx","20e eeuw"
"Marlegria","","Luc Sterckx","20e eeuw"
"Southern Feel","","Luc Sterckx","20e eeuw"
"Suite Ypsilon: Groovy, Creepy, Sleepy, Heavy","","Marleen Casteele","20e eeuw"
"Gnocco Fritto","","Marleen Casteele","20e eeuw"
"To Gelasto Pedi","","Mikis Theodorakis","20e eeuw"
"Buon Giorno Principessa","Marleen Casteele","Nicola Pioviani","20e eeuw"
"Beautiful That Way","Stef Minnebo","Nicola Pioviani","20e eeuw"
"Moment for Morricone","Marleen Casteele","Ennio Morricone","20e eeuw"
"Sabeldans","Mauro Bruschi","Aram Katchatoerian","20e eeuw"
"Minor Swing","Pieter-Jan Drouillon en Marleen Casteele","Django Reinhardt","20e eeuw"
"Canarios","Marleen Casteele","Gaspar Sanz","Barok"
"Pavane","","Gaspar Sanz","Barok"
"Canon in D","Marleen Casteele","Johann Pachelbel","Barok"
"Sarabande in d HWV 437","","Georg Friedrich Händel","Barok"
"Variaties op ""La Folia""","Yvon Rivoâl","Gaspar Sanz","Barok"
"Passacaille en Fuga","","Gaspar Sanz","Barok"
"Concerto in G voor 2 mandolines en orkest RV532","","Antonio Vivaldi","Barok"
"Trio in la minore RV85 per violino, liuto e basso continuo","Mauro Brusschi","Antonio Vivaldi","Barok"
"Mandolineconcerto in C RV425","Marleen Casteele","Antonio Vivaldi","Barok"
"Fantasia seconda","","Tielman Susato","Renaissance"
"Uit Danserey: Ronde mit hupfauf, Ronde","","Tielman Susato","Renaissance"
"Cueca","","-","Zuid-Amerikaanse muziek"
"Alturas","","-","Zuid-Amerikaanse muziek"
"Bailecito","","-","Zuid-Amerikaanse muziek"
"El Humahuaqueño","","-","Zuid-Amerikaanse muziek"
"Paçoca-Choro","","Celso Machado","Zuid-Amerikaanse muziek"
"Cirando","","Celso Machado","Zuid-Amerikaanse muziek"
"Pontéio","","Celso Machado","Zuid-Amerikaanse muziek"
"Boliviana","","Celso Machado","Zuid-Amerikaanse muziek"
"Libertango","","Astor Piazzolla","Zuid-Amerikaanse muziek"
"Paisaje Cubano con Rumba","","Leo Brouwer","Zuid-Amerikaanse muziek"
"Aria uit Bachianas Brasileiras nr 5","","Heitor Villa-Lobos","Zuid-Amerikaanse muziek"
